x y mag_blue mag_red color
6384.182 1541.384 16.375 15.803 0.572
7129.075 1683.002 16.744 16.608 0.136
5937.366 1685.600 14.551 13.692 0.859
6386.084 1761.278 19.482 19.014 0.468
6263.428 1828.389 17.705 17.057 0.648
7165.071 1831.855 20.070 19.720 0.350
5924.667 1914.058 18.651 18.044 0.607
6860.050 1939.498 16.114 15.383 0.731
7136.750 1980.564 18.538 17.931 0.607
5084.215 2006.029 19.087 18.508 0.579
5096.371 2058.285 19.937 19.502 0.435
5778.999 2061.171 19.547 19.092 0.455
5270.663 2079.862 17.118 16.452 0.666
4681.439 2096.411 18.091 17.457 0.634
5231.739 2131.703 14.409 13.560 0.849
6387.654 2152.347 19.735 19.298 0.437
5034.402 2219.214 19.974 19.544 0.430
5348.671 2259.612 19.529 19.072 0.457
5856.162 2323.135 19.005 18.416 0.589
5693.778 2393.369 19.667 19.222 0.444
4707.962 2412.328 20.047 19.631 0.416
6056.037 2434.599 16.848 16.154 0.694
3620.802 2437.917 16.873 16.184 0.689
5231.361 2452.202 20.029 19.602 0.427
4784.854 2457.262 20.177 19.744 0.432
4579.674 2458.807 17.362 16.698 0.664
6052.635 2459.157 19.838 19.407 0.431
6419.099 2464.642 19.939 19.523 0.416
6525.158 2466.551 19.346 18.832 0.513
3302.160 2468.018 19.873 19.435 0.439
5230.758 2486.837 20.072 19.643 0.429
5939.339 2508.380 20.092 19.663 0.429
6867.413 2514.446 19.605 19.105 0.500
6801.839 2547.587 20.037 19.613 0.424
6875.470 2550.989 16.406 15.683 0.723
5305.476 2559.254 19.697 19.247 0.450
3220.130 2602.438 19.566 19.109 0.456
5130.559 2606.026 19.834 19.410 0.424
4198.725 2680.809 19.854 19.424 0.430
3375.930 2687.379 19.721 19.273 0.448
3548.966 2688.157 19.742 19.301 0.441
6915.326 2696.973 19.912 19.490 0.422
5627.809 2719.329 18.520 17.879 0.641
4534.465 2723.473 18.604 17.966 0.638
6738.553 2740.404 16.852 16.780 0.072
2476.232 2763.186 19.722 19.274 0.448
5324.630 2768.830 18.444 17.822 0.622
6914.932 2777.367 17.186 16.511 0.675
3211.511 2780.590 19.261 18.716 0.545
3827.536 2789.045 19.230 19.047 0.183
5649.734 2800.146 20.077 19.639 0.438
7031.897 2805.953 19.724 19.298 0.426
3749.990 2810.397 20.182 19.754 0.428
6459.989 2835.918 19.313 18.804 0.509
3261.294 2851.871 20.145 19.710 0.435
6494.308 2863.460 20.137 19.712 0.424
4256.865 2870.972 19.083 18.509 0.574
6466.212 2871.936 19.212 18.666 0.546
6016.788 2900.424 19.736 19.296 0.440
5114.861 2910.032 19.628 19.169 0.459
3853.680 2913.265 19.282 18.663 0.619
3156.865 2920.269 19.032 18.441 0.591
2503.240 2920.791 20.047 19.617 0.430
3949.864 2936.280 19.746 19.303 0.443
5106.150 2945.457 19.681 19.237 0.444
1859.330 2955.726 19.253 18.718 0.535
6927.504 2968.243 19.604 19.149 0.455
4591.480 2971.497 18.658 18.050 0.608
6392.803 2996.783 18.537 17.895 0.642
6022.413 3012.623 20.149 19.725 0.424
7441.935 3043.340 18.624 18.007 0.617
6203.739 3062.825 19.595 19.146 0.449
7361.141 3079.055 19.476 19.008 0.469
6197.503 3082.017 17.778 17.120 0.657
5930.066 3084.194 17.260 16.585 0.675
5572.051 3085.920 20.137 19.713 0.424
2530.100 3090.967 19.603 19.151 0.452
4292.419 3091.392 19.856 19.419 0.437
3377.433 3095.027 19.380 18.876 0.504
4632.195 3105.011 19.268 18.724 0.544
2918.181 3128.665 18.910 18.303 0.607
2162.074 3133.043 19.191 18.629 0.561
6304.572 3136.450 19.893 19.465 0.429
2835.819 3145.745 19.884 19.441 0.443
3870.928 3147.515 20.160 19.719 0.441
6901.860 3151.758 18.537 17.913 0.624
2722.698 3171.463 18.198 17.527 0.671
7415.298 3173.496 19.954 19.525 0.429
3502.089 3187.394 18.751 18.209 0.542
5860.274 3193.030 19.349 18.850 0.499
2936.608 3195.945 19.742 19.298 0.444
3828.233 3211.467 17.648 17.003 0.646
6104.349 3223.220 19.938 19.517 0.421
4377.986 3230.198 19.241 18.792 0.448
2290.428 3255.998 19.422 18.936 0.486
3578.180 3259.689 19.646 19.190 0.456
2039.157 3260.985 17.248 16.576 0.672
5489.055 3262.915 19.654 19.204 0.450
4199.377 3265.942 20.033 19.591 0.441
6065.147 3274.140 19.479 19.004 0.475
6593.630 3278.044 19.875 19.451 0.423
3753.426 3280.589 19.544 19.074 0.470
6177.901 3324.076 19.724 19.289 0.435
4680.939 3333.508 20.068 19.631 0.437
4529.209 3333.926 19.703 19.258 0.446
3427.711 3338.061 20.020 19.583 0.437
4713.784 3360.821 19.520 19.046 0.474
5740.426 3361.334 19.485 19.019 0.466
6928.611 3392.159 19.130 18.560 0.570
7143.583 3396.058 19.948 19.524 0.424
5830.354 3443.205 19.439 18.901 0.538
6200.671 3451.148 19.798 19.368 0.430
2349.691 3454.373 20.167 19.725 0.442
5852.138 3462.110 19.927 19.500 0.427
5840.576 3469.056 19.212 18.672 0.540
4751.104 3488.744 19.398 18.899 0.499
5139.108 3498.727 13.700 12.743 0.957
5123.065 3511.675 20.088 19.524 0.565
3445.048 3513.152 19.583 19.117 0.466
5039.823 3513.912 19.862 19.432 0.430
5831.094 3524.817 20.174 19.742 0.432
2547.795 3526.052 20.082 19.641 0.441
6325.136 3526.498 20.110 19.681 0.428
6945.258 3526.669 19.399 18.911 0.488
3630.000 3552.549 19.934 19.500 0.434
5205.810 3570.141 19.883 19.447 0.436
3312.037 3572.090 16.762 16.059 0.703
6336.233 3576.068 23.459 22.564 0.894
4875.740 3581.371 18.530 17.971 0.559
4574.834 3583.069 19.894 19.463 0.431
3029.554 3585.527 19.253 18.712 0.541
5076.689 3594.813 20.034 19.609 0.425
1925.445 3596.223 19.669 19.214 0.454
4394.374 3601.147 15.290 14.530 0.760
7298.837 3607.525 14.851 14.020 0.831
2434.566 3624.573 19.584 19.112 0.471
3276.786 3630.253 19.976 19.536 0.439
6646.405 3629.502 19.933 19.511 0.422
3935.190 3637.256 19.958 19.526 0.432
5928.746 3636.530 15.746 14.996 0.750
6542.063 3639.949 19.613 19.162 0.452
6174.821 3659.822 17.964 17.318 0.647
4203.234 3678.628 19.067 18.478 0.589
4692.098 3698.790 19.245 18.720 0.525
6187.565 3703.349 20.102 19.648 0.455
3264.289 3705.503 16.437 15.938 0.499
5719.854 3706.366 18.114 17.473 0.641
6354.074 3722.433 20.113 19.681 0.431
5734.394 3725.577 19.433 18.966 0.467
5415.596 3734.514 19.783 19.358 0.425
3696.354 3741.604 19.814 19.373 0.441
3865.682 3746.648 19.610 19.153 0.457
5736.674 3746.573 22.180 21.582 0.598
4721.288 3773.373 19.394 18.909 0.486
4475.113 3777.043 15.100 14.441 0.659
2558.739 3789.873 20.049 19.610 0.439
4663.369 3791.914 19.982 19.559 0.423
4528.915 3793.796 19.459 18.979 0.480
5114.236 3793.566 19.970 19.558 0.412
4412.821 3796.620 18.486 17.874 0.613
4213.316 3798.864 20.138 19.712 0.427
5596.208 3805.925 19.194 18.648 0.546
3136.001 3807.400 20.093 19.652 0.440
4929.675 3806.696 20.019 19.571 0.449
4659.281 3840.717 19.389 18.898 0.491
4875.314 3841.385 19.235 18.721 0.514
7571.881 3847.433 20.078 19.661 0.416
3677.078 3854.484 19.861 19.429 0.432
4822.291 3863.899 19.931 19.515 0.416
2877.914 3868.570 20.142 19.706 0.436
